"filename", "language", "YAML", "Python", "Ignore", "Markdown", "Docker", "pip requirements", "JavaScript", "XML", "CSS", "JavaScript JSX", "JSON", "HTML", "comment", "blank", "total"
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/apartments.py", "Python", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 78
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/complaints.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/discussions.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/services.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/stories.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/users.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 37
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/endpoints/voting.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/ApartmentsSchema.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27, 100
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/ComplaintsSchema.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/DiscussionSchema.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/ServiceSchema.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/StoriesSchema.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 28
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/UserSchema.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 60
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/VotingSchema.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"/Users/daniilrakityansky/Documents/Project-X/FastAPI/schemas/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daniilrakityansky/Documents/Project-X/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/daniilrakityansky/Documents/Project-X/bot.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 59
"/Users/daniilrakityansky/Documents/Project-X/docker-compose.yml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 49
"/Users/daniilrakityansky/Documents/Project-X/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/daniilrakityansky/Documents/Project-X/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1290, 0, 0, 1, 1291
"/Users/daniilrakityansky/Documents/Project-X/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/API/API.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/API/Stories.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 57
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 3, 30
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 5, 79
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/arrow_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/box_tile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
